日期,城市,GMV,订单量,活跃用户,新增用户,用户转化率,平均客单价,营销补贴成本,利润
2026-05-13,成都,52104,825,25970,1119,3.18%,63.16,3166,5692
2026-05-13,杭州,79806,1059,30847,1383,3.43%,75.36,5307,8260
2026-05-13,深圳,125192,1599,42501,1977,3.76%,78.29,7515,13768
2026-05-14,成都,50699,807,25979,1153,3.11%,62.82,2901,5718
2026-05-14,杭州,81582,1079,30164,1294,3.58%,75.61,5478,8391
2026-05-14,深圳,126328,1660,43104,1953,3.85%,76.1,8136,13340
2026-05-15,成都,52679,830,26145,1121,3.17%,63.47,3266,5689
2026-05-15,杭州,76891,1030,29713,1419,3.47%,74.65,5153,7918
2026-05-15,深圳,130027,1668,44648,1886,3.74%,77.95,8321,13784
2026-05-16,成都,59223,944,29398,1264,3.21%,62.74,3380,6688
2026-05-16,杭州,89581,1195,34768,1462,3.44%,74.96,5599,9630
2026-05-16,深圳,139024,1766,47032,2299,3.75%,78.72,8666,14968
2026-05-17,成都,60779,959,29541,1208,3.25%,63.38,3513,6819
2026-05-17,杭州,88029,1174,32953,1446,3.56%,74.98,5804,9161
2026-05-17,深圳,136664,1763,47182,2216,3.74%,77.52,8061,15172
2026-05-18,成都,49883,819,26314,1227,3.11%,60.91,2849,5631
2026-05-18,杭州,80252,1096,30831,1340,3.55%,73.22,5428,8215
2026-05-18,深圳,120760,1584,42685,1730,3.71%,76.24,7721,12808
2026-05-19,成都,54275,887,28242,1221,3.14%,61.19,3289,5938
2026-05-19,杭州,80137,1072,30566,1440,3.51%,74.75,5179,8444
2026-05-19,深圳,131216,1675,43100,1952,3.89%,78.34,8296,14011
2026-05-20,成都,51789,849,27281,1149,3.11%,61,3134,5670
2026-05-20,杭州,80735,1088,30983,1525,3.51%,74.2,5347,8378
2026-05-20,深圳,133672,1732,44771,2046,3.87%,77.18,8422,14302
2026-05-21,成都,55296,872,26748,1254,3.26%,63.41,3462,5938
2026-05-21,杭州,80139,1102,30641,1392,3.6%,72.72,5067,8557
2026-05-21,深圳,132206,1691,44328,1877,3.81%,78.18,8231,14244
2026-05-22,成都,53890,867,26459,1084,3.28%,62.16,3125,6036
